name,claimed_status,rating,category,reivews,address,street_address,phone_no,website,email,website_inquiry_url,timing,image_link,longitude,latitude,URL,search_key,price
Agenzia Onoranze Funebri Cito S.R.L.,,,Funeral home,,"Via Cisternino, 191, 70010 Locorotondo BA, Italy","Q83M+J3 Locorotondo, Metropolitan City of Bari, Italy",+39 349 155 8219,facebook.com,,",https://m.facebook.com/?_rdr/contact/,https://m.facebook.com/?_rdr/contacts/,https://m.facebook.com/?_rdr/contact-us/,https://m.facebook.com/?_rdr/inquiry.pl/,https://m.facebook.com/?_rdr/inquiry/,https://m.facebook.com/?_rdr/contatti/,https://m.facebook.com/?_rdr/contatti.php,https://m.facebook.com/?_rdrcontatti.asp,https://m.facebook.com/?_rdrcontatti.pl,https://m.facebook.com/?_rdrcontatti.html",,https://lh5.googleusercontent.com/p/AF1QipOa3qSgVldfqf3krPTDCyskLeLEK2ihUMGWzmWM=w536-h240-k-no,40.754123,17.3327286,"https://www.google.com/maps/place/Agenzia+Onoranze+Funebri+Cito+S.R.L./@40.754401,17.3293912,17z/data=!3m1!5s0x1346529c49c268d5:0x9662a8a3c1f42eb2!4m9!1m2!2m1!1sagenzia+funebre+70010+Locorotondo+BA+italy!3m5!1s0x1346529c37a3803f:0xd198687979ee8bbf!8m2!3d40.754123!4d17.3327286!15sCiphZ2VuemlhIGZ1bmVicmUgNzAwMTAgTG9jb3JvdG9uZG8gQkEgaXRhbHmSAQxmdW5lcmFsX2hvbWU",70010 Locorotondo BA agenzia funebre USA,
Agenzia Onoranze Funebri Cito S.R.L.,,,Funeral home,,"Via Cisternino, 191, 70010 Locorotondo BA, Italy","Q83M+J3 Locorotondo, Metropolitan City of Bari, Italy",+39 349 155 8219,facebook.com,,",https://m.facebook.com/?_rdr/contact/,https://m.facebook.com/?_rdr/contacts/,https://m.facebook.com/?_rdr/contact-us/,https://m.facebook.com/?_rdr/inquiry.pl/,https://m.facebook.com/?_rdr/inquiry/,https://m.facebook.com/?_rdr/contatti/,https://m.facebook.com/?_rdr/contatti.php,https://m.facebook.com/?_rdrcontatti.asp,https://m.facebook.com/?_rdrcontatti.pl,https://m.facebook.com/?_rdrcontatti.html",,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=LPqYkD8uF7ZPoRrFySWzWA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=25.70859&pitch=0&thumbfov=100,40.7546456,17.3304334,"https://www.google.com/maps/place/Liconso+Onoranze+e+Pompe+Funebri/@40.754401,17.3293912,17z/data=!4m9!1m2!2m1!1sagenzia+funebre+70010+Locorotondo+BA+italy!3m5!1s0x13465283c89e0bf1:0xf8f486383f51fb4e!8m2!3d40.7546456!4d17.3304334!15sCiphZ2VuemlhIGZ1bmVicmUgNzAwMTAgTG9jb3JvdG9uZG8gQkEgaXRhbHmSAQxmdW5lcmFsX2hvbWU",70010 Locorotondo BA agenzia funebre USA,
